Source,MOTA,IDF1,ID Swaps,FPS,Processed Frames
tracking/test/SNMOT-116,14.337,15.996,96,16.163,120
tracking/test/SNMOT-117,13.521,20.895,45,23.941,120
tracking/test/SNMOT-118,7.244,11.943,251,12.291,120
tracking/test/SNMOT-119,5.923,13.516,0,36.640,120
tracking/test/SNMOT-120,6.858,14.097,243,14.487,120
tracking/test/SNMOT-121,12.836,16.215,81,23.689,120
tracking/test/SNMOT-122,13.769,20.527,232,20.331,120
tracking/test/SNMOT-123,8.837,9.974,377,12.243,120
tracking/test/SNMOT-124,12.667,22.828,156,22.339,120
tracking/test/SNMOT-125,17.835,23.116,80,17.346,120
